sku;departamento;seccion;familia
CREATOR 19004D;4;3;1
BLACKBIRD 21006;4;3;1
TB006FTNV;4;3;
TB020DT59 SLV;4;3;
TB300ATBL;4;3;
G5E544 JMT 00P;1;5;7
11117 B1;1;1;6
65084891;4;1;1
65084889;4;1;1
65084892;4;1;1
TB705ATBL;4;3;2
TIPSY 1654;4;3;1
PEROXXXY 3473;4;3;1
PEROXXXY 29;4;3;1
DIRTYMINDY 000;4;3;1
S57WS0057 S4300;2;3;1
S57WS0059 SX862;2;3;1
GAW006;1;1;9
THELADYISAVAMP;1;3;4
FMCSDBL1PNMAA14;2;3;2
FMSKDBB1PNMAA14;2;3;1
RMJE0019A14;2;1;2
RMPO0012A14;2;1;3
RMPO0041A14;2;1;3
349146 RDA07;1;1;6
346588 RDF04;1;1;7
349215 RDF04;1;1;6
349225 RDF07;1;1;7
SK04 AW14;1;1;7
SK05 AW14;1;1;7
10022;2;3;1
FW14MK018CCN;2;1;6
FW14MK018CCGM;2;1;6
CDGBLK;4;1;1
H555067CTFLW;2;1;6
0PO0714 24/57 ;4;3;
VL00020001;4;3;1
VL00020003;4;3;1
VL1302P022;4;3;1
VL1306P00G;4;3;1
VL13110002;4;3;1
VL131500017184;4;3;2
VL13150002;4;3;1
VL131500031136;4;3;2
792 AFRICA;4;3;1
212.82;4;1;6
208.125;4;1;6
214-;4;1;6
202-;4;1;6
206-;4;1;6
207-;4;1;6
BLACKGOLD1;1;5;
BLACKGOLD2;1;5;
STATUS II BLACK;4;3;1
STATUS II BLUE;4;3;1
CHAT GLD/BLK;4;3;1
HEXCEL CLE/SLV;4;3;1
NOTIZIA CLE/SLV;4;3;1
OP4039S CROSS;1;5;1
TO66 RHJET BEE;1;5;1
TO66 GLD/SLV BE;1;5;1
TO66 GLD/SLV FO;1;5;1
TO66S MOUSEBEIG;1;5;1
TO66G CHICKBEIG;1;5;1
TO66GS FOX;1;5;1
TO66GS BEE;1;5;1
4820CHRONO LEAT;4;2;2
DIPLOMAT SUR/SL;4;2;2
MONARCH GUN/MUL;4;2;
5130TIDE BLUESU;4;2;2
5130CHRONO MBLK;4;2;2
VL00020004;4;3;1
RW-SS12-03;1;1;6
9368*;2;1;6
9383;2;1;6
FP351T0078PAW1;1;1;6
FP442T0270PAW1;1;1;7
FP004T0193PAW1;1;2;1
4W9RB43CM122;1;1;6
4W9JA65CM122;1;1;7
4W9RB11CM115;1;1;6
4W9R028RTL08;1;1;6
4W9PO15TM119;1;1;5
4W3N010CC06;1;3;2
1CO005 01035;2;1;6
1CO014 01034C;2;1;7
1TR040 01064;2;1;5
360489 QDM01;1;1;5
360772 QDL19;1;1;2
360779 QDL14;1;1;2
360187 QDB28;1;1;6
345207 WHAA0;1;3;4
3100516;4;1;16
3100172;4;1;16
3100233;4;1;16
3100240;4;1;16
3100271;4;1;16
360608 WLBG0;1;3;4
360614 WLBI2;1;3;5
360625 WHC80;1;3;8
360658 WHC80;1;3;8
DRVV187;1;1;6
DRS347;1;1;6
HOCHIMINH;1;3;1
HOMGCAPHIGH;1;3;1
9781452114316;4;1;12
9780811839570;4;1;12
9780811856805;4;1;12
9780500517284;4;1;12
9780500512159;4;1;12
9783836533102;4;1;12
9783836532341;4;1;12
101008;2;1;6
101010;2;1;6
ROS4 DENIM/ORAN;4;3;1
ROS3 BLACK;4;3;1
ROS5 TORT/BLEU;4;3;1
ROS1 WHITE;4;3;1
MIKI BLK/TORT;4;3;1
ANTO BLK/TORT;4;3;1
VBS70C1 GOLD;4;3;
VBS56C7 OLIVE;4;3;1
VBS64C2 GOLD;4;3;1
TOTEM LILAC ALC;1;1;9
BOMW TOTEM;1;1;4
KALION TOTEM;1;1;7
CHRONO TOTEM;1;1;6
STAR TOTEM;1;1;6
ELIO MEDAL;1;1;6
ELIO BUTTERFLY;1;1;6
LITTLELIPS TSHI;7;1;2
PT0107;2;1;2
PT01141;2;1;2
PT0201;1;1;2
PT0205;1;1;2
AMQ4245/S 2IC;4;3;1
AMQ4245/S 807;4;3;1
AMQ4251/S 8JE;4;3;1
GREEK;4;1;6
BRAIDILICOUS;4;1;6
AFTER;4;1;6
HAPPYBUDA;4;1;6
SAYITLOUD;4;1;6
STORM;4;1;6
INDIANSUMMER;4;1;6
0090.140.140;4;3;
0090.ZEB.044;4;3;1
0090VB.018.000;4;3;
0090VB.027.000;4;3;
STONES*;1;3;8
1741MDB05 14462;1;1;5
1741MDE10 14471;1;1;1
1741MDA36 14471;1;1;6
1741MDP02 14462;1;1;5
DPD1252P D074;1;1;5
DPD1248P D563;1;1;5
24124;2;1;6
P100;4;1;6
P101;4;1;6
P102;4;1;6
P103;4;1;6
P104;4;1;6
MB105;4;1;6
VK7020013;4;2;1
29G60D009S060;4;2;2
29G70D001S070;4;2;2
29G60D598S497;4;2;2
ALUNNO-2;1;2;3
MIRO-2;1;2;3
DEGAS-2;1;2;3
BG081LE;1;4;1
MF14TS14EPM42;1;1;2
MF14TS11JCO19;1;1;2
752CA01;1;1;3
540J11;1;1;7
450V39;1;1;4
VE2152 12526J;4;3;1
VE4269 50686J;4;3;
VE4269 507413;4;3;
G11S MULTICATGR;4;3;1
G11S MULTICATYE;4;3;
G11S BLACKCAT;4;3;
G11S BUBBLECAT;4;3;1
G8 MULTIBABY;4;3;
G008 AVIOSLIM M;4;3;
G008AVIO SLIMMO;4;3;
MKN3;4;1;6
MKN2;4;1;6
MKE2;1;5;6
DFN2B;4;1;6
U4740019004;2;1;6
SX2014;1;5;5
SX2015;1;5;5
SX3007;1;5;4
SX3014 RED;1;5;4
SX3016;1;5;4
SX3020;1;5;4
SX3026;1;5;4
SX3025;1;5;4
SX3028 PINK;1;5;4
SX3028 GREEN;1;5;4
0090.ZEB.149;4;3;1
0205.093.000;4;3;
0906.ZEB.001;4;3;1
0906.ZEB.017;4;3;1
MMESSE002 E2GOL;4;3;1
358038 WAT51;2;3;1
ZULU BLACK;1;5;5
ZULU MULTI;1;5;5
AIGRETTE TIGER;1;5;5
AIGRETTE ZEBRA;1;5;5
DOUBLEAIGRETTE;1;5;5
TABATHAMECHE;1;5;5
AVALONNECK;1;5;5
PIUMA;1;5;5
PIUMAPERLE;1;5;5
SWANEMERALD;1;5;5
SWANROSE;1;5;5
METALZULU;1;5;5
CAP-SEQ-001;1;2;2
46RV55 46603;1;1;7
46RG40 46782;1;1;6
46RG06 46617;1;1;6
CHEYANNE EMB 74;1;1;1
PELIPA 7484;1;1;5
JN-P010-051;1;1;5
JN-N009-051;1;1;3
JN-C010-051;1;1;9
JN-J302-051;1;1;4
46RI56 46717;1;1;6
46RT05 46603;1;1;5
46RG68 46663;1;1;6
RWCO1013-2362-A;1;1;9
46BC34 46019;1;4;1
FWSHCA2C-SONA-A;1;3;2
FWSHFM4F-MOMA-A;1;3;4
LWBGRPC1-ODEA-A;1;4;4
M0134NS-W15;2;1;6
M0190B-W15;1;1;4
G0036-W15;1;1;7
A0033-W15;1;1;6
M0100-W15;1;1;3
G0093-W15;1;1;7
654441-400;2;3;1
629832;1;3;1
M40333;2;3;1
M40331;2;3;1
RGPF14 402;1;1;7
EA04035526;1;1;6
EA04235521;1;1;3
EA04525521;1;1;3
G14853 MTD-;2;5;5
EA05125524;1;1;4
EA37045570;1;1;5
69990 201952;2;1;2
68843 209760;2;1;2
67159 213197;2;1;1
69439 213686;2;1;6
U100071 V00094;2;1;9
PAP09T PA113;1;1;5
PAG24T PA632;1;1;4
PAC04T PA34C;1;1;1
Y1F005 YL30E;1;4;4
Y1B006 YA46A;1;4;1
PST12J PSHRJ;2;1;2
PSC1LT PS80C;2;1;1
PSC1LT PS78C;2;1;1
PSC1LT PS24C;2;1;1
PSC2ZT PS49C;2;1;1
PSC2RT PS89C;2;1;1
PSP01W PS30;2;1;5
747175 4A508;2;2;2
745309 4A101;2;2;3
YPP822ZV003;1;1;4
YPM780MQ027;1;1;6
YPJ234 DE002;1;1;5
YPT321DJ041;1;1;7
YPM525MQ027;1;1;7
YPR622CF011;1;1;3
YPM170MQE94;1;1;4
SU3942 VMUG-;2;3;4
SU4753 CMUG;2;3;4
SU5271 V6TC;2;3;2
SU4945 V5SG;2;3;1
SU5170 C4LG;2;3;1
69789 214943;2;1;3
70263 214667;2;1;6
YPG115AM011;1;5;5
69967 209743;2;1;5
70007 201952;2;1;2
67159 213197-;2;1;1
69898 214609;2;1;5
101TRIM SUEDE;2;3;1
C8M201500;2;1;2
C8N001400;2;1;5
70132 214892;2;1;5
69903 214716;2;1;5
YUC298PZ132;2;2;1
69689 214224;2;1;6
69558 214204;2;1;6
C28076450;2;2;3
C4L610500;2;1;9
C4L610780;2;1;9
C4L610800;2;1;9
LFL196C5SUN;4;3;
LFL236C7SUN;4;3;
LFL247C6SUN;4;3;1
467081563407;1;1;4
LFL304C1SUN;4;3;
800210082998;2;1;2
ROW8C20SUN;4;3;
200785007172;1;3;1
W14SN407 065;2;3;1
W14DF4099 296;2;4;1
W14A208 102;1;3;4
W14H204 102;1;3;6
14A6706458;1;1;2
14A2808546;1;1;3
