sku;price;special_from_date;special_to_date;special_price
BFD703 PLOO;1840.50;30/12/14;31/12/50;1288.43
BFD703 VTPGUNICABUPBIANCO;1479.34;30/12/14;31/12/50;1035.54
BFD703 VTPG;1479.34;30/12/14;31/12/50;1035.54
BFD703 VTPG;1479.34;30/12/14;31/12/50;1035.54
BFD703 VTPG;1479.34;30/12/14;31/12/50;1035.54
BFE589 VT4ZUNICA41ONERO;1416.53;30/12/14;31/12/50;991.74
BFE589 VT4Z;1416.53;30/12/14;31/12/50;991.74
BFE589 VT4Z;1416.53;30/12/14;31/12/50;991.74
BFE589 VT4Z;1416.53;30/12/14;31/12/50;991.74
BFE590 VT4ZUNICA41ONERO;1416.53;30/12/14;31/12/50;991.74
BFE590 VT4Z;1416.53;30/12/14;31/12/50;991.74
BFE590 VT4Z;1416.53;30/12/14;31/12/50;991.74
BFE590 VT4Z;1416.53;30/12/14;31/12/50;991.74
BFE581 VEMVUNICA41ONERO;1528.10;30/12/14;31/12/50;1070.25
BFE581 VEMVUNICAK61ORED;1528.10;30/12/14;31/12/50;1070.25
BFE581 VEMV;1528.10;30/12/14;31/12/50;1070.25
BFE581 VEMV;1528.10;30/12/14;31/12/50;1070.25
BFE581 VEMV;1528.10;30/12/14;31/12/50;1070.25
BFE582 VEMVUNICA41ONERO;1278.51;30/12/14;31/12/50;895.04
BFE582 VEMVUNICAK68OPOWDER;1278.51;30/12/14;31/12/50;895.04
BFE582 VEMV;1278.51;30/12/14;31/12/50;895.04
BFE582 VEMV;1278.51;30/12/14;31/12/50;895.04
BFE582 VEMV;1278.51;30/12/14;31/12/50;895.04
BFE583 VEMVUNICA41ONERO;790.08;30/12/14;31/12/50;553.72
BFE583 VEMV;790.08;30/12/14;31/12/50;553.72
BFE583 VEMV;790.08;30/12/14;31/12/50;553.72
BFE583 VEMV;790.08;30/12/14;31/12/50;553.72
SR026P VT2Q3641PNERO;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q3741PNERO;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q3841PNERO;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q3941PNERO;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q4041PNERO;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q;673.55;30/12/14;31/12/50;471.90
SR026P VT2Q;673.55;30/12/14;31/12/50;471.90
SR026P VT2P36K68PPOWDER;440.50;30/12/14;31/12/50;309.09
SR026P VT2P37K68PPOWDER;440.50;30/12/14;31/12/50;309.09
SR026P VT2P38K68PPOWDER;440.50;30/12/14;31/12/50;309.09
SR026P VT2P39K68PPOWDER;440.50;30/12/14;31/12/50;309.09
SR026P VT2P;440.50;30/12/14;31/12/50;309.09
SR026P VT2P;440.50;30/12/14;31/12/50;309.09
SR026P VT2P;440.50;30/12/14;31/12/50;309.09
SR027P NLAT3786OSAHARA;694.21;30/12/14;31/12/50;485.95
SR027P NLAT3795PPIOMBO;694.21;30/12/14;31/12/50;485.95
SR027P NLAT3886OSAHARA;694.21;30/12/14;31/12/50;485.95
