store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM;repetidos
admin;base;1;configurable;Default;talla,color;2,1,2;14-00672M;14-00672M1GRAY,14-00672M2GRAY,14-00672M3GRAY,14-00672M4GRAY;Habilitado;Catálogo, Búsqueda;;TSHIRT ETNICA LAQUE;TSHIRT ETNICA LAQUE;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00672M;;;;;;;LAQUERED ETHNIC T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai13_1.jpg;;;SLOT 84;;STANDARD;;159.50;09/01/15;31/12/50;80.17;;1;;;1;159.50;47.93;;1
admin;base;1;configurable;Default;talla,color;2,1,3;14-00673M;14-00673M1GRAY,14-00673M2GRAY,14-00673M3GRAY,14-00673M4GRAY;Habilitado;Catálogo, Búsqueda;;SUDADERA SIEDNITON LAQUE;SUDADERA SIEDNITON LAQUE;;;IVA AL 21%;2;1;3;;OI14C;SACAI;;;;;;;142;14-00673M;;;;/media/import/fotosweb/sacai/142/sacai11_2.jpg;;;SIEDNITON LAQUERED SWEATSHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai11_1.jpg;/media/import/fotosweb/sacai/142/sacai11_2.jpg;;SLOT 84;;STANDARD;;147.11;09/01/15;31/12/50;73.55;;1;;;1;147.11;44.63;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00674M;14-00674M1NAVY,14-00674M2NAVY,14-00674M3NAVY,14-00674M4NAVY;Habilitado;Catálogo, Búsqueda;;TSHIRT SIEDNITON LAQUE;TSHIRT SIEDNITON LAQUE;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00674M;;;;;;;SIEDNITON LAQUE T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai16_1.jpg;;;SLOT 84;;STANDARD;;138.02;09/01/15;31/12/50;69.42;;1;;;1;138.02;42.15;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00675M;14-00675M1NAVY,14-00675M2NAVY,14-00675M3NAVY,14-00675M4NAVY;Habilitado;Catálogo, Búsqueda;;TSHIRT RAYAS ESCOTE;TSHIRT RAYAS ESCOTE;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00675M;;;;;;;DEEP V-NECK STRIPES T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai17_1.jpg;;;SLOT 84;;STANDARD;;157.02;09/01/15;31/12/50;78.51;;1;;;1;157.02;47.11;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00676M;14-00676M1GRAY,14-00676M2GRAY,14-00676M3GRAY,14-00676M4GRAY;Habilitado;Catálogo, Búsqueda;;TSHIRT RAYAS MELANGE;TSHIRT RAYAS MELANGE;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00676M;;;;;;;BLENDED STRIPES T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai18_1.jpg;;;SLOT 84;;STANDARD;;174.38;09/01/15;31/12/50;87.60;;1;;;1;174.38;52.89;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00677M;14-00677M1WHITE,14-00677M2WHITE,14-00677M3WHITE,14-00677M4WHITE;Habilitado;Catálogo, Búsqueda;;TSHIRT PICO RAYAS;TSHIRT PICO RAYAS;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00677M;;;;;;;V-NECK STRIPES T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai19_1.jpg;;;SLOT 84;;STANDARD;;159.50;09/01/15;31/12/50;80.17;;1;;;1;159.50;47.93;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00680M;14-00680M1GRAY,14-00680M1WHITE,14-00680M2GRAY,14-00680M2WHITE,14-00680M3GRAY,14-00680M3WHITE,14-00680M4GRAY,14-00680M4WHITE;Habilitado;Catálogo, Búsqueda;;CAMISETA BOLSILLO BASICA;CAMISETA BOLSILLO BASICA;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00680M;;;;;;;BASIC POCKET T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai20_1.jpg;;;SLOT 83;;STANDARD;;116.53;09/01/15;31/12/50;58.68;;1;;;1;116.53;35.54;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00684M;14-00684M1NAVY,14-00684M2NAVY,14-00684M3NAVY,14-00684M4NAVY;Habilitado;Catálogo, Búsqueda;;TSHIRT REVERSIBLE;TSHIRT REVERSIBLE;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00684M;;;;;;;REVERSIBLE T-SHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai24_1.jpg;;;SLOT 84;;STANDARD;;226.45;09/01/15;31/12/50;113.22;;1;;;1;226.45;68.60;;1
admin;base;1;configurable;Default;talla,color;2,1,2;14-00685M;14-00685M1GRAY,14-00685M2GRAY,14-00685M3GRAY,14-00685M4GRAY;Habilitado;Catálogo, Búsqueda;;POLO REVERSIBLE;POLO REVERSIBLE;;;IVA AL 21%;2;1;2;;OI14C;SACAI;;;;;;;142;14-00685M;;;;/media/import/fotosweb/sacai/142/sacai15_2.jpg;;;REVERSIBLE POLOSHIRT;100% COTTON;;/media/import/fotosweb/sacai/142/sacai15_1.jpg;/media/import/fotosweb/sacai/142/sacai15_2.jpg;;SLOT 84;;STANDARD;;254.55;09/01/15;31/12/50;127.27;;1;;;1;254.55;76.86;;1
admin;base;1;configurable;Default;talla,color;1,3,1;1420612;142061236MULTI,142061237MULTI,142061238MULTI,142061239MULTI,142061240MULTI,142061241MULTI,142061242MULTI;Habilitado;Catálogo, Búsqueda;;SNEAKER ECLAT 90 GRAPHIC;SNEAKER ECLAT 90 GRAPHIC;;;IVA AL 21%;1;3;1;;OI14C;LE COQ SPORTIF;;;;;;;142;1420612;;;;/media/import/fotosweb/lecoq_sportif/142/sneakereclat90graphic2.jpg;;;ECLAT 90 GRAPHIC SNEAKERS;50% LEATHER 50% TEXTIL;;/media/import/fotosweb/lecoq_sportif/142/sneakereclat90graphic1.jpg;/media/import/fotosweb/lecoq_sportif/142/sneakereclat90graphic2.jpg;;SLOT 70;;IT;;79.34;09/01/15;31/12/50;39.67;;1;;;1;79.34;23.97;;1
