store;website;sku;price;special_from_date;special_to_date;special_price
admin;base;00621T206341008;372.73;;;
admin;base;00642J203511008;267.77;;;
admin;base;00656T207297008;309.92;;;
admin;base;00661N5421;78.51;18/01/15;31/12/50;55.37
admin;base;00688JL8555;187.60;18/01/15;31/12/50;131.40
admin;base;00688N3202;147.11;18/01/15;31/12/50;103.31
admin;base;00688N320B1;129.75;18/01/15;31/12/50;90.91
admin;base;00688N453B1;245.45;18/01/15;31/12/50;171.90
admin;base;008150653600742;228.10;30/12/99;30/12/99;.00
admin;base;0090.140.140;124.79;30/12/99;30/12/99;.00
admin;base;0090.144.000;139.67;30/12/99;30/12/99;.00
admin;base;0090.PIX.018;126.45;30/12/99;30/12/99;.00
admin;base;0090.PIX.027;126.45;30/12/99;30/12/99;.00
admin;base;0090.PIX.033;126.45;30/12/99;30/12/99;.00
admin;base;0090.PIX.055;126.45;30/12/99;30/12/99;.00
admin;base;0090.PIX.063;126.45;30/12/99;30/12/99;.00
admin;base;0090.PIX.149;126.45;30/12/99;30/12/99;.00
admin;base;0090.ZEB.001;124.79;30/12/99;30/12/99;.00
admin;base;0090.ZEB.044;124.79;30/12/99;30/12/99;.00
admin;base;0090.ZEB.149;124.79;30/12/99;30/12/99;.00
admin;base;0090D.028.027;227.27;30/12/99;30/12/99;.00
admin;base;0090DP.001.149;139.67;30/12/99;30/12/99;.00
admin;base;0090DP.009.149;139.67;30/12/99;30/12/99;.00
admin;base;0090L.145.000;139.67;30/12/99;30/12/99;.00
admin;base;0090V.009.000;114.05;30/12/99;30/12/99;.00
admin;base;0090V.GIA.000;133.06;30/12/99;30/12/99;.00
admin;base;0090V.ZEB.000;133.06;30/12/99;30/12/99;.00
admin;base;0090V2.022.027;124.79;30/12/99;30/12/99;.00
admin;base;0090VB.018.000;80.17;30/12/99;30/12/99;.00
admin;base;0090VB.027.000;80.17;30/12/99;30/12/99;.00
admin;base;0090VI.IND.009;134.71;30/12/99;30/12/99;.00
admin;base;0090VI.IND.021;134.71;30/12/99;30/12/99;.00
admin;base;0092.ZEF.001;139.67;30/12/99;30/12/99;.00
admin;base;0092INX.022.000;139.67;30/12/99;30/12/99;.00
admin;base;0092R.009.075;147.93;30/12/99;30/12/99;.00
admin;base;0092R.090.120;147.93;30/12/99;30/12/99;.00
admin;base;0092V.041.ZEB;116.53;30/12/99;30/12/99;.00
admin;base;0092V022CNG;128.93;;;
admin;base;0092V2.017.018;124.79;30/12/99;30/12/99;.00
admin;base;0092V2.021.022;124.79;30/12/99;30/12/99;.00
admin;base;0092V2.057.002;124.79;30/12/99;30/12/99;.00
admin;base;0092VP.009.000;147.93;30/12/99;30/12/99;.00
admin;base;0092VR044120;146.28;;;
admin;base;0101 0303;377.69;27/12/14;30/12/50;189.26
admin;base;0101 0304;385.12;30/12/99;30/12/99;.00
admin;base;0101-0202LEOPAR;409.09;30/12/99;30/12/99;.00
admin;base;0101-0302LEOPAR;409.09;30/12/99;30/12/99;.00
admin;base;011504241555;743.80;15/06/15;31/12/50;371.90
admin;base;012009566029113;157.02;18/01/16;31/12/50;78.51
admin;base;012009566029115;157.02;18/01/16;31/12/50;78.51
admin;base;012009684019101;148.76;18/01/16;31/12/50;74.38
admin;base;012009684039121;188.43;18/01/16;31/12/50;94.21
admin;base;01969.009.000;121.49;30/12/99;30/12/99;.00
admin;base;01969.009.120;146.28;30/12/99;30/12/99;.00
admin;base;01969.028.000;121.49;30/12/99;30/12/99;.00
admin;base;01969.031.000;121.49;30/12/99;30/12/99;.00
admin;base;01969.032.000;121.49;30/12/99;30/12/99;.00
admin;base;01969.044.000;121.49;30/12/99;30/12/99;.00
admin;base;01969.055.000;121.49;30/12/99;30/12/99;.00
admin;base;01969.921.000;121.49;30/12/99;30/12/99;.00
admin;base;020 027;124.79;30/12/99;30/12/99;.00
admin;base;0201 0205;581.82;30/12/99;30/12/99;.00
admin;base;0201 0405;385.12;30/12/99;30/12/99;.00
admin;base;0201 0803;377.69;30/12/99;30/12/99;.00
admin;base;0201 0902;526.45;30/12/99;30/12/99;.00
admin;base;0201-0404BLACK;409.09;30/12/99;30/12/99;.00
admin;base;020313071001;131.40;30/12/99;30/12/99;.00
admin;base;020313671001;156.20;30/12/99;30/12/99;.00
admin;base;020313671002;156.20;30/12/99;30/12/99;.00
admin;base;020313971001;114.88;30/12/99;30/12/99;.00
admin;base;020314071001;180.99;30/12/99;30/12/99;.00
admin;base;020314071002;180.99;30/12/99;30/12/99;.00
admin;base;020314271001;164.46;30/12/99;30/12/99;.00
admin;base;020314371001;73.55;30/12/99;30/12/99;.00
admin;base;020314371003;65.29;30/12/99;30/12/99;.00
admin;base;020314381001;81.82;30/12/99;30/12/99;.00
admin;base;020314381003;73.55;30/12/99;30/12/99;.00
admin;base;0205.023.000;124.79;30/12/99;30/12/99;.00
admin;base;0205.093.000;124.79;30/12/99;30/12/99;.00
admin;base;0211.075.075;139.67;30/12/99;30/12/99;.00
admin;base;0211.120.120;139.67;30/12/99;30/12/99;.00
admin;base;0212.075.075;139.67;30/12/99;30/12/99;.00
admin;base;0212.120.120;139.67;30/12/99;30/12/99;.00
admin;base;0215.021.000;139.67;30/12/99;30/12/99;.00
admin;base;0215.ZEB.044;139.67;30/12/99;30/12/99;.00
admin;base;022 009;124.79;30/12/99;30/12/99;.00
admin;base;022 055;124.79;30/12/99;30/12/99;.00
admin;base;022 063;124.79;30/12/99;30/12/99;.00
admin;base;022.018.063;126.45;30/12/99;30/12/99;.00
admin;base;022.027.055;126.45;23/07/15;30/12/50;63.64
admin;base;022.055.018;126.45;30/12/99;30/12/99;.00
admin;base;022.063.033;126.45;23/07/15;30/12/50;63.64
admin;base;024.018.063;126.45;23/07/15;30/12/50;63.64
admin;base;024.027.055;126.45;23/07/15;30/12/50;63.64
admin;base;024.055.018;126.45;30/12/99;30/12/99;.00
admin;base;024.063.033;126.45;30/12/99;30/12/99;.00
admin;base;0301 0106;443.80;30/12/99;30/12/99;.00
admin;base;0301 2001;385.12;30/12/99;30/12/99;.00
admin;base;0301 2201;680.17;30/12/99;30/12/99;.00
admin;base;0301 2202;680.17;30/12/99;30/12/99;.00
admin;base;0301 2301;680.17;30/12/99;30/12/99;.00
admin;base;0301-1301AZUR;483.47;30/12/99;30/12/99;.00
admin;base;03011701B;385.12;30/12/99;30/12/99;.00
admin;base;030704651222;371.07;15/06/15;31/12/50;185.95
admin;base;036V 009;124.79;30/12/99;30/12/99;.00
admin;base;036V 041;124.79;30/12/99;30/12/99;.00
admin;base;0401-2401BLACK;991.74;30/12/99;30/12/99;.00
admin;base;0401-2601GOLD;409.09;30/12/99;30/12/99;.00
admin;base;0401-3101BBLACK;991.74;30/12/99;30/12/99;.00
admin;base;0401-3201GOLD;524.79;30/12/99;30/12/99;.00
admin;base;0401-3202AZURE;524.79;30/12/99;30/12/99;.00
admin;base;04012501;409.09;30/12/99;30/12/99;.00
admin;base;04012505B;409.09;30/12/99;30/12/99;.00
admin;base;0402V.009.000;80.17;30/12/99;30/12/99;.00
admin;base;0403496002;73.55;30/12/99;30/12/99;.00
admin;base;040349681001;73.55;30/12/99;30/12/99;.00
admin;base;0403498002;139.67;30/12/99;30/12/99;.00
admin;base;0403523001;189.26;30/12/99;30/12/99;.00
admin;base;0403530001;189.26;30/12/99;30/12/99;.00
admin;base;0403572001;131.40;30/12/99;30/12/99;.00
admin;base;0403573001;131.40;30/12/99;30/12/99;.00
admin;base;0403628001;247.11;30/12/99;30/12/99;.00
admin;base;0403629001;247.11;30/12/99;30/12/99;.00
admin;base;0403850001;98.35;30/12/99;30/12/99;.00
admin;base;0404V.009.004;80.17;30/12/99;30/12/99;.00
admin;base;0404V.018.000;80.17;30/12/99;30/12/99;.00
admin;base;041904641208;906.61;15/06/15;31/12/50;453.72
admin;base;050304361208;1485.95;15/06/15;31/12/50;742.98
admin;base;0740BLMLB;326.45;30/12/99;30/12/99;.00
admin;base;0740CWDJUP;326.45;30/12/99;30/12/99;.00
admin;base;0740DT07SA;326.45;30/12/99;30/12/99;.00
admin;base;0740RWPM;326.45;30/12/99;30/12/99;.00
admin;base;0740SGG;326.45;30/12/99;30/12/99;.00
admin;base;0811LE GBR;251.24;15/10/13;31/12/50;188.43
admin;base;090 ELITE BLUE;124.79;23/07/15;30/12/50;62.81
admin;base;090 ELITE CAMU;124.79;27/07/15;30/12/50;62.81
admin;base;0900.141.000;124.79;30/12/99;30/12/99;.00
admin;base;0900.PIX.018;126.45;23/07/15;30/12/50;63.64
admin;base;0900.PIX.033;126.45;30/12/99;30/12/99;.00
admin;base;0900.PIX.055;126.45;30/12/99;30/12/99;.00
admin;base;0900.PIX.063;126.45;30/12/99;30/12/99;.00
admin;base;0900.PIX.149;126.45;30/12/99;30/12/99;.00
admin;base;0900501001;131.40;30/12/99;30/12/99;.00
admin;base;0900502001;131.40;30/12/99;30/12/99;.00
admin;base;0900503001;131.40;30/12/99;30/12/99;.00
admin;base;0900DP.001.149;139.67;30/12/99;30/12/99;.00
admin;base;0900DP.009.149;139.67;30/12/99;30/12/99;.00
admin;base;0900VI.IND.009;134.71;30/12/99;30/12/99;.00
