category_id;path;nombre_ingles;nombre_espanol;descripcion_ingles;descripcion_espanol
1361;outlet/women/accessories/home-gifts/sex-toys;"SEX TOYS";"JUGUETES ERÓTICOS";;
1362;outlet/women/accessories/home-gifts/shoehorns;SHOEHORNS;CALZADORES;;
1363;outlet/women/accessories/home-gifts/umbrellas;UMBRELLAS;PARAGUAS;;
1364;outlet/women/accessories/niche-perfumes;"NICHE PERFUMES";"PERFUMES SELECTOS";;
1365;outlet/women/accessories/technology;TECHNOLOGY;TECNOLOGÍA;;
1366;outlet/women/accessories/technology/gadgets;GADGETS;GADGETS;;
1367;outlet/women/accessories/technology/iphone-cases;"IPHONE CASES";"FUNDAS DE IPHONE";;
1368;outlet/women/accessories/technology/ipad-cases;"IPAD CASES";"FUNDAS DE IPAD";;
1369;outlet/men;MEN;HOMBRE;;
1370;outlet/men/clothing;CLOTHING;ROPA;;
1371;outlet/men/clothing/bottoms;BOTTOMS;"PARTES DE ABAJO";;
1372;outlet/men/clothing/bottoms/jeans;JEANS;JEANS;;
1373;outlet/men/clothing/bottoms/joggers;JOGGERS;JOGGERS;;
1374;outlet/men/clothing/bottoms/pants;PANTS;PANTALONES;;
1375;outlet/men/clothing/bottoms/shorts;SHORTS;"PANTALONES CORTOS";;
1376;outlet/men/clothing/outerwear;OUTERWEAR;"ROPA DE ABRIGO";;
1377;outlet/men/clothing/outerwear/blazers-jackets;"BLAZERS & JACKETS";"CHAQUETAS Y BLAZERS";;
1378;outlet/men/clothing/outerwear/coats;COATS;ABRIGOS;;
1379;outlet/men/clothing/outerwear/down-jackets;"DOWN JACKETS";PLUMAS;;
1380;outlet/men/clothing/outerwear/vests;VESTS;CHALECOS;;
1381;outlet/men/clothing/suits;SUITS;TRAJES;;
1382;outlet/men/clothing/swimwear;SWIMWEAR;"ROPA DE BAÑO";;
1383;outlet/men/clothing/tops;TOPS;"PARTES DE ARRIBA";;
1384;outlet/men/clothing/knitwear;KNITWEAR;PUNTO;;
1385;outlet/men/clothing/knitwear/polos-t-shits;"POLOS & T-SHITS";"POLOS Y CAMISETAS";;
1386;outlet/men/clothing/knitwear/shirts;SHIRTS;CAMISAS;;
